Time: 2026-03-18 14:45:02.156531, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-21 06:00:02.119400, Current moisture: 12.0, Raw moisture: 102, Watered: no
Time: 2026-03-21 07:00:01.369497, Current moisture: 9.9, Raw moisture: 20, Watered: no
Time: 2026-03-21 08:00:01.567225, Current moisture: 12.0, Raw moisture: 38, Watered: no
Time: 2026-03-21 09:00:01.760245, Current moisture: 12.0, Raw moisture: 5, Watered: no
Time: 2026-03-21 10:00:01.978211, Current moisture: 12.0, Raw moisture: 0, Watered: no
Time: 2026-03-21 11:00:01.186048, Current moisture: 12.0, Raw moisture: 65, Watered: no
Time: 2026-03-21 12:00:01.378313, Current moisture: 12.0, Raw moisture: 77, Watered: no
Time: 2026-03-21 13:00:01.580060, Current moisture: 8.0, Raw moisture: 4, Watered: no
Time: 2026-03-21 14:00:01.756914, Current moisture: 11.0, Raw moisture: 23, Watered: no
Time: 2026-03-21 15:00:01.965782, Current moisture: 12.0, Raw moisture: 32, Watered: no
Time: 2026-03-21 16:00:02.173200, Current moisture: 12.0, Raw moisture: 101, Watered: no
Time: 2026-03-21 17:00:01.373482, Current moisture: 10.8, Raw moisture: 37, Watered: no
Time: 2026-03-21 18:00:01.573106, Current moisture: 12.0, Raw moisture: 8, Watered: no
Time: 2026-03-21 19:00:01.761285, Current moisture: 11.5, Raw moisture: 8, Watered: no
Time: 2026-03-21 20:00:01.978387, Current moisture: 9.0, Raw moisture: 28, Watered: no
Time: 2026-03-21 21:00:02.158346, Current moisture: 12.0, Raw moisture: 7, Watered: no
Time: 2026-03-21 22:00:01.382317, Current moisture: 9.5, Raw moisture: 29, Watered: no
Time: 2026-03-21 23:00:01.580688, Current moisture: 10.0, Raw moisture: 3, Watered: no
Time: 2026-03-22 00:00:01.781236, Current moisture: 11.4, Raw moisture: 5, Watered: no
Time: 2026-03-22 01:00:01.990906, Current moisture: 12.0, Raw moisture: 2, Watered: no
Time: 2026-03-22 02:00:01.195582, Current moisture: 9.3, Raw moisture: 23, Watered: no
Time: 2026-03-22 03:00:01.395011, Current moisture: 6.6, Raw moisture: 8, Watered: yes
Time: 2026-03-22 04:00:01.581398, Current moisture: 8.0, Raw moisture: 10, Watered: no
Time: 2026-03-22 05:00:01.766773, Current moisture: 12.0, Raw moisture: 92, Watered: no
Time: 2026-03-22 06:00:01.977570, Current moisture: 8.2, Raw moisture: 15, Watered: no
Time: 2026-03-22 07:00:01.237713, Current moisture: 11.3, Raw moisture: 65, Watered: no
Time: 2026-03-22 08:00:01.446059, Current moisture: 12.0, Raw moisture: 92, Watered: no
Time: 2026-03-22 09:00:01.651242, Current moisture: 7.1, Raw moisture: 54, Watered: yes
Time: 2026-03-22 10:00:01.833524, Current moisture: 12.0, Raw moisture: 50, Watered: no
Time: 2026-03-22 11:00:02.027107, Current moisture: 12.0, Raw moisture: 2, Watered: no
Time: 2026-03-22 12:00:01.242422, Current moisture: 12.0, Raw moisture: 3, Watered: no
Time: 2026-03-22 13:00:01.443011, Current moisture: 11.2, Raw moisture: 13, Watered: no
Time: 2026-03-22 14:00:01.658779, Current moisture: 12.0, Raw moisture: 3, Watered: no
Time: 2026-03-22 15:00:01.862279, Current moisture: 12.0, Raw moisture: 20, Watered: no
Time: 2026-03-22 16:00:02.069763, Current moisture: 12.0, Raw moisture: 38, Watered: no
Time: 2026-03-22 17:00:01.261076, Current moisture: 12.0, Raw moisture: 2, Watered: no
Time: 2026-03-22 18:00:01.481755, Current moisture: 9.7, Raw moisture: 103, Watered: no
Time: 2026-03-22 19:00:01.670835, Current moisture: 10.4, Raw moisture: 86, Watered: no
Time: 2026-03-22 20:00:01.852117, Current moisture: 8.8, Raw moisture: 28, Watered: no
Time: 2026-03-22 21:00:02.053792, Current moisture: 11.6, Raw moisture: 104, Watered: no
Time: 2026-03-22 22:00:01.255871, Current moisture: 8.9, Raw moisture: 2, Watered: no
Time: 2026-03-22 23:00:01.463668, Current moisture: 8.9, Raw moisture: 5, Watered: no
Time: 2026-03-23 00:00:01.670755, Current moisture: 10.9, Raw moisture: 29, Watered: no
Time: 2026-03-23 01:00:01.870244, Current moisture: 7.9, Raw moisture: 27, Watered: yes
Time: 2026-03-23 02:00:02.070222, Current moisture: 12.0, Raw moisture: 0, Watered: no
Time: 2026-03-23 03:00:01.270697, Current moisture: 11.0, Raw moisture: 85, Watered: no
Time: 2026-03-23 04:00:01.492819, Current moisture: 9.3, Raw moisture: 3, Watered: no
Time: 2026-03-23 05:00:01.709109, Current moisture: 12.0, Raw moisture: 2, Watered: no
Time: 2026-03-23 06:00:01.910414, Current moisture: 7.8, Raw moisture: 17, Watered: yes
Time: 2026-03-23 07:00:02.134425, Current moisture: 9.0, Raw moisture: 20, Watered: no
Time: 2026-03-23 08:00:01.336133, Current moisture: 10.1, Raw moisture: 63, Watered: no
Time: 2026-03-23 09:00:01.535333, Current moisture: 11.5, Raw moisture: 27, Watered: no
Time: 2026-03-23 10:00:01.724677, Current moisture: 10.9, Raw moisture: 98, Watered: no
Time: 2026-03-23 11:00:01.942948, Current moisture: 12.0, Raw moisture: 2, Watered: no
Time: 2026-03-23 12:00:02.149756, Current moisture: 12.0, Raw moisture: 24, Watered: no
Time: 2026-03-23 13:00:01.365878, Current moisture: 10.5, Raw moisture: 7, Watered: no
Time: 2026-03-23 14:00:01.547755, Current moisture: 12.0, Raw moisture: 14, Watered: no
Time: 2026-03-23 15:00:01.750242, Current moisture: 12.0, Raw moisture: 92, Watered: no
Time: 2026-03-23 16:00:01.949777, Current moisture: 11.2, Raw moisture: 27, Watered: no
Time: 2026-03-23 17:00:02.154826, Current moisture: 12.0, Raw moisture: 10, Watered: no
Time: 2026-03-23 18:00:01.352812, Current moisture: 12.0, Raw moisture: 0, Watered: no
Time: 2026-03-23 19:00:01.565406, Current moisture: 10.9, Raw moisture: 27, Watered: no
Time: 2026-03-23 20:00:01.773981, Current moisture: 9.5, Raw moisture: 16, Watered: no
Time: 2026-03-23 21:00:01.993414, Current moisture: 9.8, Raw moisture: 29, Watered: no
Time: 2026-03-23 22:00:01.193326, Current moisture: 9.1, Raw moisture: 1, Watered: no
Time: 2026-03-23 23:00:01.393281, Current moisture: 8.0, Raw moisture: 28, Watered: no
Time: 2026-03-24 00:00:01.581874, Current moisture: 7.6, Raw moisture: 26, Watered: yes
Time: 2026-03-24 01:00:01.778782, Current moisture: 10.3, Raw moisture: 23, Watered: no
Time: 2026-03-24 02:00:01.982541, Current moisture: 10.4, Raw moisture: 28, Watered: no
Time: 2026-03-24 03:00:01.175707, Current moisture: 10.2, Raw moisture: 25, Watered: no
Time: 2026-03-24 04:00:01.410143, Current moisture: 9.4, Raw moisture: 13, Watered: no
Time: 2026-03-24 05:00:01.617439, Current moisture: 9.1, Raw moisture: 21, Watered: no
Time: 2026-03-24 06:00:01.799032, Current moisture: 10.1, Raw moisture: 4, Watered: no
Time: 2026-03-24 07:00:02.038183, Current moisture: 9.4, Raw moisture: 8, Watered: no
Time: 2026-03-24 08:00:01.254720, Current moisture: 12.0, Raw moisture: 95, Watered: no
Time: 2026-03-24 09:00:01.462900, Current moisture: 12.0, Raw moisture: 9, Watered: no
Time: 2026-03-24 10:00:01.657389, Current moisture: 12.0, Raw moisture: 80, Watered: no
Time: 2026-03-24 11:00:01.864497, Current moisture: 8.9, Raw moisture: 46, Watered: no
